"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[11.6,11.7)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[11.7,11.8)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[11.8,11.9)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[11.9,12)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12,12.1)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.1,12.2)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.2,12.3)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.3,12.4)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.4,12.5)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.5,12.6)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.6,12.7)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.7,12.8)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.8,12.9)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[12.9,13)",0
"HHS Region 2","2011-12-25",1,"2012-01-01","pmf","[13,100)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0,0.1)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.1,0.2)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.2,0.3)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.3,0.4)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.4,0.5)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.5,0.6)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.6,0.7)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.7,0.8)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.8,0.9)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[0.9,1)",0
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[1,1.1)",0.00666
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[1.1,1.2)",0.116002
"HHS Region 2","2011-12-25",2,"2012-01-08","pmf","[1.2,1.3)",0.118682
